Date,Open,High,Low,Close,Share,Money,Numb
1999/12/23,8043.88 ,8117.73 ,8013.18 ,8083.49 ,2661664315,1.34717E+11,686401
1999/12/24,8144.84 ,8225.39 ,8144.84 ,8219.45 ,3220357815,1.71382E+11,815294
1999/12/27,8274.83 ,8415.07 ,8253.79 ,8415.07 ,3499805430,1.90353E+11,888439
1999/12/28,8451.72 ,8480.50 ,8376.29 ,8448.84 ,3736534586,1.94567E+11,951533
2000/1/4,8644.91 ,8803.61 ,8642.50 ,8756.55 ,3902921000,2.28618E+11,942921
2000/1/5,8690.60 ,8867.68 ,8668.02 ,8849.87 ,4602396059,2.52758E+11,1143702
2000/1/6,8876.59 ,9023.99 ,8863.91 ,8922.03 ,4811126992,2.68146E+11,1185339
2000/1/7,8856.87 ,8940.77 ,8739.43 ,8845.47 ,4481003273,2.22699E+11,1104634
2000/1/10,8918.60 ,9126.02 ,8891.79 ,9102.60 ,4363059308,2.44444E+11,1064460
2000/1/11,9199.10 ,9332.52 ,8890.45 ,8927.03 ,5395525668,3.26463E+11,1369966
2000/1/12,8964.78 ,9144.65 ,8937.31 ,9144.65 ,3937299088,2.36706E+11,999727
2000/1/13,9168.73 ,9237.85 ,9095.35 ,9107.19 ,4566289371,2.59633E+11,1131492
2000/1/14,9172.17 ,9236.85 ,8967.56 ,9023.24 ,3834580349,2.06416E+11,974748
2000/1/15,9155.74 ,9210.37 ,9105.02 ,9191.37 ,3283833100,1.83598E+11,830188
2000/1/17,9256.57 ,9384.52 ,9230.39 ,9315.43 ,4058472000,1.99835E+11,909939
2000/1/18,9346.98 ,9353.89 ,9210.36 ,9250.19 ,3858552244,1.73468E+11,910066
2000/1/19,9255.70 ,9335.73 ,9150.86 ,9151.44 ,3628638935,1.64058E+11,870494
2000/1/20,9175.27 ,9211.34 ,9077.70 ,9136.95 ,3136783265,1.37849E+11,742819
2000/1/21,9170.41 ,9305.27 ,9170.41 ,9255.94 ,3561639699,1.84955E+11,845844
2000/1/24,9327.98 ,9425.87 ,9327.98 ,9387.07 ,4197952794,1.95948E+11,935596
2000/1/25,9411.10 ,9413.21 ,9308.01 ,9372.37 ,3916167179,1.64744E+11,895651
2000/1/26,9469.74 ,9617.32 ,9469.74 ,9581.96 ,4711541072,2.2066E+11,1050657
2000/1/27,9639.86 ,9733.26 ,9618.30 ,9628.98 ,5061179542,2.05386E+11,1095436
2000/1/28,9600.45 ,9753.72 ,9600.45 ,9696.91 ,5081101907,2.05955E+11,1103721
2000/1/29,9618.78 ,9677.55 ,9585.82 ,9636.38 ,3678064641,1.46355E+11,845910
2000/1/31,9653.24 ,9749.51 ,9613.80 ,9744.89 ,3256332000,1.52936E+11,751444
2000/2/1,9829.68 ,9901.80 ,9800.63 ,9856.39 ,4477717839,2.00229E+11,1020545
2000/2/9,10039.67 ,10137.24 ,9932.07 ,10008.88 ,4666126000,2.3115E+11,1020787
2000/2/10,10008.38 ,10098.30 ,9957.66 ,10057.67 ,5272457368,2.15373E+11,1148947
2000/2/11,10125.51 ,10227.33 ,10096.54 ,10128.67 ,5697465562,2.53625E+11,1246053
2000/2/14,10140.65 ,10167.71 ,9963.50 ,9971.45 ,4852586607,2.04705E+11,1121956
2000/2/15,9982.27 ,10014.25 ,9853.86 ,9957.74 ,4059666238,1.59764E+11,924541
2000/2/16,10010.87 ,10099.97 ,10010.87 ,10064.49 ,4348011703,1.82188E+11,966277
2000/2/17,10089.89 ,10267.46 ,10089.89 ,10202.20 ,5728086880,2.41193E+11,1230280
2000/2/18,10266.79 ,10393.59 ,10062.23 ,10096.38 ,6390746119,2.59771E+11,1398530
2000/2/19,10084.29 ,10168.18 ,10031.92 ,10161.05 ,5620473198,2.13836E+11,1198127
2000/2/21,10165.24 ,10212.99 ,9912.67 ,9912.67 ,6714191000,2.47906E+11,1362680
2000/2/22,9860.12 ,9917.13 ,9596.68 ,9731.93 ,5222706177,1.97956E+11,1165376
2000/2/23,9738.19 ,9803.81 ,9623.46 ,9642.26 ,4032076421,1.62334E+11,911397
2000/2/24,9725.30 ,9781.31 ,9582.00 ,9599.17 ,3926521775,1.62149E+11,882222
2000/2/25,9620.92 ,9639.12 ,9407.79 ,9432.49 ,3434388741,1.49887E+11,824603
2000/2/29,9525.65 ,9581.00 ,9410.11 ,9435.94 ,2583377444,1.15007E+11,613190
2000/3/1,9572.24 ,9689.10 ,9572.24 ,9689.10 ,3234238186,1.32363E+11,711330
2000/3/2,9757.08 ,9781.27 ,9543.58 ,9543.82 ,2962376255,1.26144E+11,693965
2000/3/3,9557.66 ,9650.74 ,9547.40 ,9588.03 ,2820834646,1.18718E+11,657467
2000/3/4,9668.21 ,9712.24 ,9505.93 ,9517.97 ,2969819984,1.34987E+11,732819
2000/3/6,9519.80 ,9519.80 ,9356.58 ,9367.91 ,2336944000,1.04736E+11,580845
2000/3/7,9340.49 ,9440.32 ,9286.39 ,9380.07 ,2886340006,1.42551E+11,706883
2000/3/8,9402.70 ,9482.18 ,9379.29 ,9389.49 ,2696730211,1.40814E+11,680937
2000/3/9,9453.70 ,9587.27 ,9453.70 ,9587.27 ,3341235624,1.81812E+11,816766
2000/3/10,9662.61 ,9712.39 ,9428.99 ,9429.60 ,3806563591,2.14032E+11,953854
2000/3/13,9279.90 ,9279.90 ,8807.36 ,8811.95 ,2453171491,1.44959E+11,663188
2000/3/14,8728.30 ,8871.83 ,8598.07 ,8835.58 ,2716113494,1.37442E+11,708915
2000/3/15,8794.30 ,8905.82 ,8638.24 ,8640.03 ,2518449988,1.29696E+11,648882
2000/3/16,8472.54 ,8714.06 ,8250.46 ,8682.76 ,2801527576,1.4694E+11,708306
2000/3/17,8700.99 ,8799.09 ,8610.58 ,8763.27 ,3518424765,1.73867E+11,809149
2000/3/20,8509.32 ,8536.05 ,8483.41 ,8536.05 ,1858049172,80115116465,373153
2000/3/21,8438.24 ,9021.89 ,8355.89 ,9004.48 ,3867266583,1.84614E+11,878416
2000/3/22,9009.25 ,9201.15 ,8908.32 ,9069.39 ,3994156258,2.20995E+11,977835
2000/3/23,9198.45 ,9567.89 ,9198.45 ,9533.87 ,4434106426,2.45446E+11,1091302
2000/3/24,9565.24 ,9571.28 ,9405.14 ,9482.64 ,4222906898,2.74012E+11,1117111
2000/3/27,9531.91 ,9858.57 ,9531.91 ,9807.57 ,4204886786,2.60228E+11,1069221
